Locatie,PFAS,Waarde,Jaar,Bron,Sampletype,Eenheid,LOQ_flag,Bron_bestand,Locatie_basis,Locatie_detail,Medium,Waarde_norm,Eenheid_norm,Unit_group,Locatie_oud,RWZI_code,Medium_oud,Eenheid_oud,Sampletype_oud,Latitude,Longitude
Vlissingen,PFBA,15.0,2021,WUR 2021,water,ng/g,True,wur2021_master.csv,Vlissingen,,water,15.0,ng/g,concentratie_biota_bodem,Vlissingen,,water,ng/g,water,51.4425,3.5722
Vlissingen,PFPeA,2.4,2021,WUR 2021,water,ng/g,False,wur2021_master.csv,Vlissingen,,water,2.4,ng/g,concentratie_biota_bodem,Vlissingen,,water,ng/g,water,51.4425,3.5722
Vlissingen,PFHxA,5.7,2021,WUR 2021,water,ng/g,False,wur2021_master.csv,Vlissingen,,water,5.7,ng/g,concentratie_biota_bodem,Vlissingen,,water,ng/g,water,51.4425,3.5722
Vlissingen,PFHpA,7.5,2021,WUR 2021,water,ng/g,True,wur2021_master.csv,Vlissingen,,water,7.5,ng/g,concentratie_biota_bodem,Vlissingen,,water,ng/g,water,51.4425,3.5722
Vlissingen,PFOA,1.8,2021,WUR 2021,water,ng/g,True,wur2021_master.csv,Vlissingen,,water,1.8,ng/g,concentratie_biota_bodem,Vlissingen,,water,ng/g,water,51.4425,3.5722
Vlissingen,PFNA,3.2,2021,WUR 2021,water,ng/g,True,wur2021_master.csv,Vlissingen,,water,3.2,ng/g,concentratie_biota_bodem,Vlissingen,,water,ng/g,water,51.4425,3.5722
Vlissingen,PFDcA,3.2,2021,WUR 2021,water,ng/g,True,wur2021_master.csv,Vlissingen,,water,3.2,ng/g,concentratie_biota_bodem,Vlissingen,,water,ng/g,water,51.4425,3.5722
Vlissingen,PFUnA,3.2,2021,WUR 2021,water,ng/g,True,wur2021_master.csv,Vlissingen,,water,3.2,ng/g,concentratie_biota_bodem,Vlissingen,,water,ng/g,water,51.4425,3.5722
Vlissingen,PFDoA,1.8,2021,WUR 2021,water,ng/g,True,wur2021_master.csv,Vlissingen,,water,1.8,ng/g,concentratie_biota_bodem,Vlissingen,,water,ng/g,water,51.4425,3.5722
Vlissingen,PFTrA,7.5,2021,WUR 2021,water,ng/g,True,wur2021_master.csv,Vlissingen,,water,7.5,ng/g,concentratie_biota_bodem,Vlissingen,,water,ng/g,water,51.4425,3.5722
Vlissingen,PFTeA,3.2,2021,WUR 2021,water,ng/g,True,wur2021_master.csv,Vlissingen,,water,3.2,ng/g,concentratie_biota_bodem,Vlissingen,,water,ng/g,water,51.4425,3.5722
Bath,PFBA,41.0,2021,WUR 2021,water,ng/g,False,wur2021_master.csv,Bath,,water,41.0,ng/g,concentratie_biota_bodem,Bath,,water,ng/g,water,51.395,4.207
